zone_name,zip_code,zone_description,shipping_cost,weight_margin,minimum_cost
Akkaraipattu,32400,Akkaraipattu,100,5,150
Ambagahawatta,90326,Ambagahawatta,100,5,150
Ampara,32000,Ampara,100,5,150
Bakmitiyawa,32024,Bakmitiyawa,100,5,150
Deegawapiya,32006,Deegawapiya,100,5,150
Devalahinda,32038,Devalahinda,100,5,150
Digamadulla Weeragoda,32008,Digamadulla Weeragoda,100,5,150
Dorakumbura,32104,Dorakumbura,100,5,150
Gonagolla,32064,Gonagolla,100,5,150
Hulannuge,32514,Hulannuge,100,5,150
Kalmunai,32300,Kalmunai,100,5,150
Kannakipuram,32405,Kannakipuram,100,5,150
Karativu,32250,Karativu,100,5,150
Kekirihena,32074,Kekirihena,100,5,150
Koknahara,32035,Koknahara,100,5,150
Kolamanthalawa,32102,Kolamanthalawa,100,5,150
Komari,32418,Komari,100,5,150
Lahugala,32512,Lahugala,100,5,150
Irakkamam,32450,Irakkamam,100,5,150
Mahaoya,32070,Mahaoya,100,5,150
Marathamune,32314,Marathamune,100,5,150
Namaloya,32037,Namaloya,100,5,150
Navithanveli,32308,Navithanveli,100,5,150
Nintavur,32340,Nintavur,100,5,150
Oluvil,32360,Oluvil,100,5,150
Padiyatalawa,32100,Padiyatalawa,100,5,150
Pahalalanda,32034,Pahalalanda,100,5,150
Panama,32508,Panama,100,5,150
Pannalagama,32022,Pannalagama,100,5,150
Paragahakele,32031,Paragahakele,100,5,150
Periyaneelavanai,32316,Periyaneelavanai,100,5,150
Polwaga Janapadaya,32032,Polwaga Janapadaya,100,5,150
Pottuvil,32500,Pottuvil,100,5,150
Sainthamaruthu,32280,Sainthamaruthu,100,5,150
Samanthurai,32200,Samanthurai,100,5,150
Serankada,32101,Serankada,100,5,150
Tempitiya,32072,Tempitiya,100,5,150
Thambiluvil,32415,Thambiluvil,100,5,150
Tirukovil,32420,Tirukovil,100,5,150
Uhana,32060,Uhana,100,5,150
Wadinagala,32039,Wadinagala,100,5,150
Wanagamuwa,32454,Wanagamuwa,100,5,150
Angamuwa,50248,Angamuwa,100,5,150
Anuradhapura,50000,Anuradhapura,100,5,150
Awukana,50169,Awukana,100,5,150
Bogahawewa,50566,Bogahawewa,100,5,150
Dematawewa,50356,Dematawewa,100,5,150
Dimbulagala,51031,Dimbulagala,100,5,150
Dutuwewa,50393,Dutuwewa,100,5,150
Elayapattuwa,50014,Elayapattuwa,100,5,150
Ellewewa,51034,Ellewewa,100,5,150
Eppawala,50260,Eppawala,100,5,150
Etawatunuwewa,50584,Etawatunuwewa,100,5,150
Etaweeragollewa,50518,Etaweeragollewa,100,5,150
Galapitagala,32066,Galapitagala,100,5,150
